num,playerid,name,pos,ht,wt,from,Seasons,class,season4,htft,htin
34,212,Doug Kistler ,F ,6-9 ,215 ,"Wayne, Pa. (Wayne) ",1959-61 ,Sr.,1961 ,6,9 
32,267,Merrill Morgan ,G ,6-3 ,185 ,"Montclair, N.J. ",1959-61 ,Sr.,1961 ,6,3 
0,297,Charlie Raksnis ,,0-0 ,0 ,,1961 ,,1961 ,0,0 
23,387,Carroll Youngkin ,C ,6-6 ,210 ,"Winston-Salem, N.C. ",1959-61 ,Sr.,1961 ,6,6 
40,146,Tom Gebbie ,C ,6-7 ,205 ,"Park Ridge, Ill. ",1962 ,Jr.,1962 ,6,7 
21,162,Roger Hamilton ,F ,6-3 ,180 ,"Westerly, R.I. ",1962 ,So.,1962 ,6,3 
15,207,Fred Kast ,C/F ,6-7 ,200 ,"Rahway, N.J. ",1959-62 ,Sr.,1962 ,6,7 
35,260,Buzz Mewhort ,F ,6-4 ,200 ,"Toledo, Ohio ",1960-62 ,Sr.,1962 ,6,4 
20,273,Jack Mullen ,G ,5-11 ,170 ,"Weissport, Pa. ",1960-62 ,Sr.,1962 ,5,11 
0,314,Steve Salisbury ,,0-0 ,0 ,,1962 ,,1962 ,0,0 
34,475,Fred Cox ,C ,6-6 ,205 ,"Pittsfield, Mass. ",1961-63 ,Sr.,1963 ,6,6 
25,179,Art Heyman ,F/G ,6-5 ,205 ,"Rockville Center, N.Y. (Oceanside) ",1961-63 ,Sr.,1963 ,6,5 
33,199,Bob Jamieson ,F,6-5 ,205 ,"Greensboro, N.C. ",1962-63 ,Sr.,1963 ,6,5 
11,320,Fred Schmidt ,G ,6-4 ,190 ,"Philadelphia, Pa. ",1961-63 ,Sr.,1963 ,6,4 
43,354,Bill Ulrich ,G ,5-10 ,170 ,"Audubon, N.J. ",1962-63 ,Sr.,1963 ,5,10 
14,378,Scott Williamson ,F ,6-5 ,210 ,"Sanford, N.C. ",1961-63 ,Sr.,1963 ,6,5 
22,54,Jay Buckley ,C ,6-10 ,225 ,"Cheverly, Md. ",1962-64 ,Sr.,1964 ,6,10 
23,99,Ray Cox ,G ,6-0 ,165 ,"Durham, N.C. ",1962-64 ,Sr.,1964 ,6,0 
30,167,Buzzy Harrison ,G ,6-3 ,190 ,"South Charleston, W.Va. ",1962-64 ,Sr.,1964 ,6,3 
12,168,Frank Harscher ,G ,6-3 ,180 ,"Lexington, Ky. ",1964 ,So.,1964 ,6,3 
45,241,Ted Mann ,F ,6-5 ,200 ,"Durham, N.C. ",1963-64 ,Jr.,1964 ,6,5 
44,274,Jeff Mullins ,F/G ,6-4 ,185 ,"Lexington, Ky. (Lafayette) ",1962-64 ,Sr.,1964 ,6,4 
52,405,Terry Murray ,G ,6-5 ,200 ,"Atlanta, Ga. ",1963-64 ,Sr.,1964 ,6,5 
20,133,Denny Ferguson ,G ,6-0 ,170 ,"Springdale, Pa. ",1963-65 ,Sr.,1965 ,6,0 
15,136,Burton Fitts ,F ,6-3 ,185 ,"Winston-Salem, N.C. ",1965 ,Sr.,1965 ,6,3 
55,177,Ron Herbster ,G ,6-2 ,180 ,"Chester, Pa. ",1963-65 ,Sr.,1965 ,6,2 
